cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
"2,2,7-Trimethyloctane",443.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,2,4-Trimethylnonane",464.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,5-dimethylheptane",449.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"3,3-Diethylheptane",459.9,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"3,3,4-Trimethyloctane",455.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"3-Ethyl-3,4-dimethyloctane",473.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"4,4-Diethyloctane",473.15,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,6-Dimethylnonane",455.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,2,3,3-Tetramethylheptane",452.8,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,3,4,5-Tetramethylheptane",454.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
4-Methyl-octane,415.15,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
"2,2,6,6-Tetramethyloctane",455.9,170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"2,5-Dimethyl-3-isopropylhexane",443.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3-Ethyl-2,2-dimethylheptane",449.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,2,3,3,4-Pentamethylhexane",457.15,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"2,3,4-Trimethylhexan-3-ol",452.15,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"2,3,3,4,5-Pentamethylhexane",454.15,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"2,2,5-Trimethyloctane",444.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
2-Methyl-4-isopropylheptane,445.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
4-Ethyl-5-methyloctane,453.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,4,4,7-Tetramethyloctane",457,170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
3-Ethyl-5-methyloctane,453.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,3-Dimethyltridecane",538.15,212.41,0,15,0,15,0,0,2,0,0,Hydrocarbon
"3,4-Diethyloctane",472.15,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
2-Ethyl-3-methylhexan-1-ol,466.15,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"2,3,5-Trimethylhexan-3-ol",493.59,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"3,3-Dimethyl-1-hexanol",471.59,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
4-Tert-butyloctane,464.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
3-Ethyl-6-methyloctane,455.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,3,4,6-Tetramethylheptane",446.7,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,5-Diethyloctane",470.15,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"2,3,3,6-Tetramethylheptane",448.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,5-Diethylheptane",452.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"3,5,5-Trimethyloctane",443.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
4-Isopropyl-4-heptanol,462.15,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
3-Pentadecyne,544.15,208.38,0,15,0,15,0,0,0,0,1,Hydrocarbon
"3,4-Diethyl-3-methylhexane",459.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
5-Ethyl-1-heptanol,497.26,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
"N,N-dimethylpentan-3-amine",389.65,115.22,3.2,8,1,7,1,0,2,0,0,Amine
"4-Ethyl-2,5-dimethylheptane",448.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,2,3,3,5,5-Hexamethylhexane",468.15,170.33,0,12,0,12,0,0,6,0,0,Hydrocarbon
"2,5,5-Trimethylhexan-3-ol",493.59,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"3,4,4-Trimethylpentan-2-ol",432.40963,130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
"N,N,2-Trimethylbutan-2-amine",391.15,115.22,3.2,8,1,7,1,0,3,0,0,Amine
"3,5,5-Trimethylhexan-3-ol",491.24,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"2,3,4-Trimethylhexan-2-ol",493.59,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"4,6-Dimethylnonane",452.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,3,3,4,4-Pentamethylhexane",460.15,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"3,3-Diethyl-2,2,4-trimethylpentane",479.15,170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"3,3-Diethyl-2,4-dimethylhexane",473.15,170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"3,3-Diethyl-2,4-dimethylpentane",462.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,3-Diethyl-2-methylheptane",476.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,3-Diethyl-2-methylhexane",459.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,4,4-trimethylhexane",451.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
3-Methyl-4-isopropylheptane,450.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
2-Ethyl-4-methylhexan-1-ol,468.15,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"2,2,3,3,5-Pentamethylhexane",446.17573,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"4-Ethyl-2,2,4-trimethylhexane",451.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,3,6-Trimethyloctane",450.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,4,5-Trimethyloctane",449.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"3,3-Dimethylnon-4-yne",457.05,152.28,0,11,0,11,0,0,2,0,1,Hydrocarbon
Tri(octyl-decyl)amine,1446.24,774.5,3.2,55,1,54,1,0,4,0,0,Amine
4-Methyl-2-(2-methylpropyl)pentan-1-ol,477.15,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
"2,4-Dimethyl-4-propylheptane",462.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,4-Dimethyltetradecane",521,226.44,0,16,0,16,0,0,2,0,0,Hydrocarbon
"2,5-Dimethyl-4-octanol",519.26,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
"2,5-Dimethyl-4-propylheptane",463.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,6,6-Trimethylnonane",463.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,6-Dimethyl-4-propylheptane",457.75,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,5,5-Trimethylnonane",463.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,5,5-Trimethyloctane",445.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
2-Methyl-4-propylheptane,447.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
2-Methyl-5-propyloctane,462,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,3,4,4-Tetramethylheptane",457.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"3,4-Dimethyl-4-propylheptane",471.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,5-Dimethyl-4-propylheptane",469.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,3-Dimethyl-4-propylheptane",469.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,4,4-Trimethyloctane",454.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"3,4,5,5-Tetramethylhexan-3-ol",467.8,158.28,20.2,11,1,10,0,1,5,0,0,Alcohol
3-Methyl-4-propylheptane,452.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"4,4,5-Trimethyloctane",453.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"4,4-Dimethylnonane",451.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,2,3,3,6-Pentamethylheptane",466.15,170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"2,2,3,4,4-Pentamethylhexane",459.15,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"2,2,3,4,5-Pentamethylhexane",447.15,156.31,0,11,0,11,0,0,5,0,0,Hydrocarbon
"2,2,3,4-Tetramethylheptane",449.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"2,2,5,5,6-Pentamethylheptane",459.15,170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"2,2,5,5-Tetramethyloctane",457.15,170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"2,2,5,6-Tetramethylheptane",442.15,156.31,0,11,0,11,0,0,4,0,0,Hydrocarbon
"2,2,5-Trimethylheptan-4-ol",516.47,158.28,20.2,11,1,10,0,1,4,0,0,Alcohol
"2,3-Dimethyl-4-propylheptane",467.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"2,3-Dimethyltetradecane",555.15,226.44,0,16,0,16,0,0,2,0,0,Hydrocarbon
"2,4,4,5,5-Pentamethylheptane",469.15,170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"2,4,4-Trimethylhexan-2-ol",491.24,144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
"2,4,4-Trimethyloctane",444.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
5-Methyl-4-nonanol,519.7,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
"5,5-Dimethyl-3-hexanol",426.15,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
"3,5-Dimethyl-2,4-heptadiene",413.15,124.22,0,9,0,9,0,0,2,2,0,Hydrocarbon
"2,2,4,4-Tetramethyl-3-hexanol",460.65,158.28,20.2,11,1,10,0,1,5,0,0,Alcohol
"3,3-Dimethyl-2-ethyl-1-butanol",471.15,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
"3,3,4-Trimethyl-2-pentanol",437.9,130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
(2R)-2-methylpentadecan-1-ol,657.42,242.44,20.2,17,1,16,0,1,1,0,0,Alcohol
