cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
1-Hexanol,430.05,102.17,20.2,7,1,6,0,1,0,0,0,Alcohol
"1,5-Pentanediol",514.15,104.15,40.5,7,2,5,0,2,1,0,0,Alcohol
4-Methoxybutan-1-ol,428.6,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
3-Ethoxy-1-propanol,433.69704,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
Diethylenetriamine,479.65,103.17,64.099,7,3,4,3,0,1,0,0,Amine
2-Allyloxyethanol,431.65,102.13,29.5,7,2,5,0,2,0,1,0,Alcohol
1-Octene,394.45,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Oct-2-ene,398.05,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Heptylamine,426.15,115.22,26,8,1,7,1,0,0,0,0,Amine
1-Heptanol,451.15,116.2,20.2,8,1,7,0,1,0,0,0,Alcohol
2-Butoxyethanol,444.15,118.17,29.5,8,2,6,0,2,0,0,0,Alcohol
2-(2-Methoxyethoxy)ethanol,467.15,120.15,38.7,8,3,5,0,3,0,0,0,Alcohol
Nonane,423.95,128.25,0,9,0,9,0,0,0,0,0,Hydrocarbon
Octylamine,451.75,129.24,26,9,1,8,1,0,0,0,0,Amine
Dibutylamine,435.15,129.24,12,9,1,8,1,0,0,0,0,Amine
"N,N-Dimethyldodecylamine",533.15,213.4,3.2,15,1,14,1,0,1,0,0,Amine
2-(Hexyloxy)ethanol,481.15,146.23,29.5,10,2,8,0,2,0,0,0,Alcohol
Triethylene glycol,561.75,150.17,58.9,10,4,6,0,4,1,0,0,Alcohol
1-Decanol,502.15,158.28,20.2,11,1,10,0,1,0,0,0,Alcohol
2-(2-Butoxyethoxy)ethanol,505.15,162.23,38.7,11,3,8,0,3,0,0,0,Alcohol
Dodecane,489.45,170.33,0,12,0,12,0,0,0,0,0,Hydrocarbon
1-Dodecene,486.55,168.32,0,12,0,12,0,0,0,1,0,Hydrocarbon
1-Undecanol,519.15,172.31,20.2,12,1,11,0,1,0,0,0,Alcohol
10-Undecen-1-OL,523.15,170.29,20.2,12,1,11,0,1,0,1,0,Alcohol
1-Dodecanol,537.25,186.33,20.2,13,1,12,0,1,0,0,0,Alcohol
Tetraethylenepentamine,614.65,189.3,88.1,13,5,8,5,0,1,0,0,Amine
Tetraethylene glycol,588.15,194.23,68.2,13,5,8,0,5,1,0,0,Alcohol
1-Tridecanol,560.15,200.36,20.2,14,1,13,0,1,0,0,0,Alcohol
1-Tetradecanol,568.95,214.39,20.2,15,1,14,0,1,0,0,0,Alcohol
"N,N-Dimethyltetradecylamine",575.15,241.46,3.2,17,1,16,1,0,1,0,0,Amine
1-Octadecene,588.65,252.5,0,18,0,18,0,0,0,1,0,Hydrocarbon
Stearyl alcohol,624.15,270.5,20.2,19,1,18,0,1,0,0,0,Alcohol
Eicosane,617.25,282.5,0,20,0,20,0,0,0,0,0,Hydrocarbon
Propylene,225.55,42.08,0,3,0,3,0,0,0,1,0,Hydrocarbon
Isobutylene,266.15,56.11,0,4,0,4,0,0,1,1,0,Hydrocarbon
2-Methyl-3-buten-2-OL,372.45,86.13,20.2,6,1,5,0,1,2,1,0,Alcohol
2-Methyl-3-butyn-2-OL,378.85,84.12,20.2,6,1,5,0,1,2,0,1,Alcohol
"2,2-Diethyl-1,3-propanediol",517.15,132.2,40.5,9,2,7,0,2,2,0,0,Alcohol
Pentaerythritol,631,136.15,80.9,9,4,5,0,4,3,0,0,Alcohol
"N,N-Diisopropylethylenediamine",394.15,144.26,29.3,10,2,8,2,0,3,0,0,Amine
Triethylamine,361.95,101.19,3.2,7,1,6,1,0,1,0,0,Amine
2-Methyl-1-butanol,401.15,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
Citronellol,497.65,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol
"2,5-Dimethyl-3-hexyne-2,5-diol",479.15,142.2,40.5,10,2,8,0,2,4,0,1,Alcohol
Heptane,371.53,100.2,0,7,0,7,0,0,0,0,0,Hydrocarbon
Dipropylamine,380.65,101.19,12,7,1,6,1,0,0,0,0,Amine
Nonan-1-ol,486.85,144.25,20.2,10,1,9,0,1,0,0,0,Alcohol
Decylamine,490.15,157.3,26,11,1,10,1,0,0,0,0,Amine
Dihexylamine,509.15,185.35,12,13,1,12,1,0,0,0,0,Amine
Bis(hexamethylene)triamine,493.15,215.38,64.099,15,3,12,3,0,1,0,0,Amine
Hexadecylamine,594.15,241.46,26,17,1,16,1,0,0,0,0,Amine
"2,2,4-Trimethyl-1,3-pentanediol",503.25,146.23,40.5,10,2,8,0,2,4,0,0,Alcohol
"Butane-1,2,3,4-tetrol",603.65,122.12,80.9,8,4,4,0,4,3,0,0,Alcohol
"3,6-Dimethyloctan-3-ol",471.15,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
"1,3-Butadiyne",283.15,50.06,0,4,0,4,0,0,0,0,2,Hydrocarbon
Allene,238.35,40.06,0,3,0,3,0,0,0,2,0,Hydrocarbon
Neopentane,282.65,72.15,0,5,0,5,0,0,2,0,0,Hydrocarbon
"2,2,3-Trimethylbutane",353.95,100.2,0,7,0,7,0,0,3,0,0,Hydrocarbon
"3,3-Dimethyl-2-butanol",393.15,102.17,20.2,7,1,6,0,1,3,0,0,Alcohol
"3-Butene-1,2-diol",469.65,88.11,40.5,6,2,4,0,2,1,1,0,Alcohol
Octamylamine,373.65,199.38,12,14,1,13,1,0,3,0,0,Amine
2-Butyne,300.25,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon
"1,3-Propanediol",487.85,76.09,40.5,5,2,3,0,2,1,0,0,Alcohol
Isophytol,741.51,296.5,20.2,21,1,20,0,1,5,1,0,Alcohol
"Heptadeca-8,10,12-trien-4,6-diyne-1,14-diol",802.96,258.35,40.5,19,2,17,0,2,1,3,2,Alcohol
1-Tetracosanol,675,354.7,20.2,25,1,24,0,1,0,0,0,Alcohol
2-Methyl-2-butene,311.65,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
Methallyl alcohol,387.65,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol
"2,3-Dimethyl-1,3-butadiene",342.15,82.14,0,6,0,6,0,0,2,2,0,Hydrocarbon
"2,2,4-Trimethylpentane",372.35,114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
Myrcenol,510.59,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
2-Heptanol,432.15,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
Diisoamylamine,460.15,157.3,12,11,1,10,1,0,2,0,0,Amine
3-Hexen-1-ol,426.15,100.16,20.2,7,1,6,0,1,0,1,0,Alcohol
Hexadecane,560.05,226.44,0,16,0,16,0,0,0,0,0,Hydrocarbon
Dotriacontane,743.15,450.9,0,32,0,32,0,0,0,0,0,Hydrocarbon
3-Methyl-2-buten-1-OL,417.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
Polyvinyl alcohol,613.15,44.05,20.2,3,1,2,0,1,0,1,0,Alcohol
"3,3-Dimethyl-1-butene",314.39,84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,3,3-Trimethylpentane",387.85,114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3,3-Trimethyl-1-pentene",381.15,112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"3,3-Dimethylpentane",359.15,100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
"3,3-Dimethylhexane",385.05,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Methyl-1-butene,293.25,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
2-Methyl-1-butene,304.25,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
"2,3-Dimethyl-1-butene",328.74,84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyl-2-butene",346.34,84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,2,3-Trimethylpentane",382.95,114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3-Dimethylpentane",362.95,100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
3-Methyl-2-pentanol,415.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
2-Methyl-3-pentanol,401.05,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,3,4-Trimethylpentane",386.55,114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3,4-Trimethyl-2-pentene",389.15,112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"3,4-Dimethylhexane",390.85,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Pentanol,396.15,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
"1,2-Butanediol",469.1,90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
"2,3-Dimethylhexane",388.75,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Methylhexane,364.15,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
3-Methyl-1-pentanol,426,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
"2,4-Dimethylhexane",382.55,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
4-Methylheptane,390.85,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
4-Heptanol,434.15,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
4-Octanol,448.15,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
3-Methylheptane,392.05,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
3-Heptanol,427.15972,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
3-Octanol,457.15,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
"1,2-Butadiene",284.15,54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon
"2,2-Dimethylpentane",352.35,100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
2-Methylpentan-2-ol,394.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,2-Dimethylhexane",379.95,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
2-Methylhexane,363.15,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
"1,4-Pentadiene",299.05,68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
"1,2-Pentadiene",317.15,68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
"2,5-Dimethylhexane",382.25,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
2-Methylheptane,390.75,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
1-Hexene,336.55,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"1,5-Hexadiene",332.35,82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
"Hexa-1,4-diene",338.15,82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
3-Hexene,340.21,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"Hexa-1,3-diene",337.72,82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
1-Heptene,367.15,98.19,0,7,0,7,0,0,0,1,0,Hydrocarbon
Oct-4-ene,395.55,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Octadecane,589.15,254.5,0,18,0,18,0,0,0,0,0,Hydrocarbon
Heptacosane,715.15,380.7,0,27,0,27,0,0,0,0,0,Hydrocarbon
Vinylamine,314.57,43.07,26,3,1,2,1,0,0,1,0,Amine
"2,3,3-Trimethyl-1-butene",350.95,98.19,0,7,0,7,0,0,3,1,0,Hydrocarbon
"2,3-Dimethyl-2-butanol",391.85,102.17,20.2,7,1,6,0,1,3,0,0,Alcohol
"2,2,3,3-Tetramethylbutane",379.47,114.23,0,8,0,8,0,0,4,0,0,Hydrocarbon
"2,3,3-Trimethyl-2-butanol",401.45,116.2,20.2,8,1,7,0,1,4,0,0,Alcohol
"2,3-Dimethyl-3-pentanol",413.15,116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
3-Ethyl-3-pentanol,415.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Methyl-3-hexanol,420.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Methyl-3-heptanol,439.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"3-Methyl-1,2-butadiene",313.95,68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon
3-Buten-2-OL,370.15,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol
"N,N-Dimethylethylamine",309.65,73.14,3.2,5,1,4,1,0,1,0,0,Amine
"1,2-Dimethylpropylamine",354.15,87.16,26,6,1,5,1,0,2,0,0,Amine
3-Methyl-2-butanol,385.15,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
"2,4-Dimethyl-3-pentanol",415.15,116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
Galactitol,888.2,182.17,121,12,6,6,0,6,5,0,0,Alcohol
3-Ethyl-2-methylpentane,388.75,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
4-Methylhexan-3-ol,422.65,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Penten-3-OL,391.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
"N,N-Diethylmethylamine",339.05,87.16,3.2,6,1,5,1,0,1,0,0,Amine
2-Methyl-3-hexanol,414.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
3-Ethylpentane,366.55,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
2-Ethylbutylamine,398.15,101.19,26,7,1,6,1,0,1,0,0,Amine
3-Ethylhexane,391.65,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
"2,2-Diethoxyethanol",440.15,134.17,38.7,9,3,6,0,3,1,0,0,Alcohol
Triamylamine,515.65,227.43,3.2,16,1,15,1,0,1,0,0,Amine
3-Hexanol,407,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
5-Methyl-3-hexanol,420.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"1,3-Dimethoxy-2-propanol",442.15,120.15,38.7,8,3,5,0,3,1,0,0,Alcohol
5-Nonanol,468.15,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
3-Nonanol,467.9,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
beta-Butene,274.03,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"3,3-Dimethyl-1-butanol",416.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,4-Dimethyl-2-pentanol",406.15,116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
2-Methyl-2-hexanol,415.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Methyl-2-heptanol,446.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
2-Methyl-2-pentene,340.45,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
4-Penten-2-OL,389.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
N-Methylisobutylamine,341.65,87.16,12,6,1,5,1,0,1,0,0,Amine
"2,4-Dimethyl-2-pentene",356.45,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,4-Pentanediol",491.15,104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
DI-Sec-butylamine,408.15,129.24,12,9,1,8,1,0,2,0,0,Amine
4-Methyl-1-pentanol,424.15,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
2-Hexanol,409.15,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
1-Pentyne,313.05,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon
2-Pentyne,329.15,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon
N-Methylpropylamine,336.15,73.14,12,5,1,4,1,0,0,0,0,Amine
"2,5-Dimethyl-1,5-hexadiene",387.15,110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
5-Methyl-2-hexanol,424.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Methyl-2-heptene,395.15,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
5-Methyl-1-hexanol,443.15,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
1-Heptyne,372.95,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon
2-Nonanol,466.65,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
1-Octyne,399.35,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
"Hexane-1,6-diol",481.15,118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
"1,7-Heptanediol",535.15,132.2,40.5,9,2,7,0,2,1,0,0,Alcohol
Tridecane,508.55,184.36,0,13,0,13,0,0,0,0,0,Hydrocarbon
Tetradecane,526.65,198.39,0,14,0,14,0,0,0,0,0,Hydrocarbon
Pentadecane,543.75,212.41,0,15,0,15,0,0,0,0,0,Hydrocarbon
1-Hexadecene,558.15,224.42,0,16,0,16,0,0,0,1,0,Hydrocarbon
1-Hexadecyne,557.15,222.41,0,16,0,16,0,0,0,0,1,Hydrocarbon
1-Pentadecanol,591.15,228.41,20.2,16,1,15,0,1,0,0,0,Alcohol
Heptadecane,576.15,240.5,0,17,0,17,0,0,0,0,0,Hydrocarbon
Nonadecane,603.15,268.5,0,19,0,19,0,0,0,0,0,Hydrocarbon
Heneicosane,632.15,296.6,0,21,0,21,0,0,0,0,0,Hydrocarbon
1-Eicosanol,629.15,298.5,20.2,21,1,20,0,1,0,0,0,Alcohol
Docosane,642.15,310.6,0,22,0,22,0,0,0,0,0,Hydrocarbon
Pentacosane,675.05,352.7,0,25,0,25,0,0,0,0,0,Hydrocarbon
Hexacosane,688.15,366.7,0,26,0,26,0,0,0,0,0,Hydrocarbon
Octacosane,705.15,394.8,0,28,0,28,0,0,0,0,0,Hydrocarbon
Nonacosane,716.15,408.8,0,29,0,29,0,0,0,0,0,Hydrocarbon
Hentriacontane,731.15,436.8,0,31,0,31,0,0,0,0,0,Hydrocarbon
Tritriacontane,748.15,464.9,0,33,0,33,0,0,0,0,0,Hydrocarbon
Hexatriacontane,777.15,507,0,36,0,36,0,0,0,0,0,Hydrocarbon
Pentatriacontane,762.15,492.9,0,35,0,35,0,0,0,0,0,Hydrocarbon
Phytane,442.65,282.5,0,20,0,20,0,0,4,0,0,Hydrocarbon
Tricosane,654.15,324.6,0,23,0,23,0,0,0,0,0,Hydrocarbon
Triacontane,724.15,422.8,0,30,0,30,0,0,0,0,0,Hydrocarbon
2-Pentene,309.45,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon
Tetracosane,664.15,338.7,0,24,0,24,0,0,0,0,0,Hydrocarbon
Docosanol,680.15,326.6,20.2,23,1,22,0,1,0,0,0,Alcohol
4-Methyl-2-pentene,332.15,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,3-butanediol",473.15,104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
"4,4-Dimethylpent-2-ene",349.89151,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
4-Methyl-1-pentene,327.15,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
1-Hexyne,344.35,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
3-Methyl-1-pentene,327.15,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
2-Ethyl-1-butene,337.85,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"4,4-Dimethyl-1-pentene",345.65,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
2-Methyl-1-pentene,335.25,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,4-pentadiene",329.15,82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
3-Methyl-3-buten-1-OL,405.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
2-Butyn-1-OL,413.15,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol
"2,5-Dimethyl-2,4-hexadiene",408.35,110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
2-(Vinyloxy)ethanol,412.15,88.11,29.5,6,2,4,0,2,0,1,0,Alcohol
1-Decyne,447.15,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
"2-Methylpropane-1,2-diamine",404.15,88.15,52,6,2,4,2,0,2,0,0,Amine
3-Ethyl-2-pentene,368.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
1-Octyn-3-OL,464.5,126.2,20.2,9,1,8,0,1,1,0,1,Alcohol
4-Penten-1-OL,409.15,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol
1-Undecene,465.85,154.29,0,11,0,11,0,0,0,1,0,Hydrocarbon
2-Methylnonane,440.15,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
1-Decene,444.15,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
"3,3-Dimethyl-1-Butyne",311.15,82.14,0,6,0,6,0,0,2,0,1,Hydrocarbon
"2,3,4-Trimethylhexane",412.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3,4-Dimethylheptane",413.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"4-Methyl-1,3-pentadiene",349.15,82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
"3,5-Dimethylheptane",408.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"N,N-Dimethylbutylamine",365.35,101.19,3.2,7,1,6,1,0,1,0,0,Amine
3-Butyn-1-OL,402.15,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol
Hex-3-yne,354.65,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
Dodecylamine,528.15,185.35,26,13,1,12,1,0,0,0,0,Amine
3-Methylundecane,485.15,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
3-Ethyl-3-methylpentane,391.35,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
"3,3-Diethylpentane",419.35,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"3-Ethyl-2,4-dimethylpentane",396.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"1,5-Hexadiene-3,4-diol",414.15,114.14,40.5,8,2,6,0,2,2,2,0,Alcohol
"2,3,5-Trimethylhexane",404.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,2,4,4-Tetramethylpentane",395.35,128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,2-Dimethylheptane",406.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,2,5,5-Tetramethylhexane",410.15,142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,6-Dimethylheptane",408.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,7-Dimethyloctane",433.15,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
Triisobutylamine,467.15,185.35,3.2,13,1,12,1,0,4,0,0,Amine
Trioctylamine,652.15,353.7,3.2,25,1,24,1,0,1,0,0,Amine
"1,2-Octanediol",566.56,146.23,40.5,10,2,8,0,2,1,0,0,Alcohol
2-Heptyne,386.75,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon
2-Decanol,484.18843,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
Undecane,469.05,156.31,0,11,0,11,0,0,0,0,0,Hydrocarbon
1-Tetradecene,524.25,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
Didecylamine,632.15,297.6,12,21,1,20,1,0,0,0,0,Amine
"2,2-Dimethylbutan-1-ol",410.15,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,2,3,4-Tetramethylpentane",406.15,128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,5,5-Trimethylheptane",426.15,142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
2-Methoxy-1-propanol,403.15,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol
1-Heptadecanol,597.15,256.5,20.2,18,1,17,0,1,0,0,0,Alcohol
2-(2-Ethylhexyloxy)ethanol,504.15,174.28,29.5,12,2,10,0,2,1,0,0,Alcohol
2-Methyloctadecane,599.15,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
2-Methylheptadecane,584.2,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
2-Methylhexadecane,570.15,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon
2-Methylpentadecane,554.75,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
2-Methyltetradecane,538.35,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
2-Methyltridecane,521.05,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
2-Methyldodecane,502.65,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
1-Propoxy-2-propanol,423.35,118.17,29.5,8,2,6,0,2,1,0,0,Alcohol
1-Ethoxy-2-propanol,404.15,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pent-3-en-2-ol,395.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
"3,6-Dimethyl-3-heptanol",446.15,144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"Penta-1,3-diene",317.15,68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
Pent-2-en-1-ol,411.15,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol
2-Ethyl-1-hexene,393.15,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"1,9-Decadiene",437.15,138.25,0,10,0,10,0,0,0,2,0,Hydrocarbon
2-Undecanol,504.15,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
2-Tridecanol,538.15,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
Decane,447.25,142.28,0,10,0,10,0,0,0,0,0,Hydrocarbon
Heptadecylamine,609.15,255.5,26,18,1,17,1,0,0,0,0,Amine
Octadecylamine,623.15,269.5,26,19,1,18,1,0,0,0,0,Amine
Pristane,579.15,268.5,0,19,0,19,0,0,4,0,0,Hydrocarbon
4-Octyne,406.65,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
5-Decyne,451.15,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
Nonylamine,471.15,143.27,26,10,1,9,1,0,0,0,0,Amine
Tetradecylamine,562.15,213.4,26,15,1,14,1,0,0,0,0,Amine
Hexadecyldimethylamine,603.15,269.5,3.2,19,1,18,1,0,1,0,0,Amine
"N,N-Dimethyloctylamine",465.15,157.3,3.2,11,1,10,1,0,1,0,0,Amine
"N,N-Dimethylheptylamine",445.15,143.27,3.2,10,1,9,1,0,1,0,0,Amine
3-Butyn-2-ol,379.65,70.09,20.2,5,1,4,0,1,1,0,1,Alcohol
Dipentylamine,477.15,157.3,12,11,1,10,1,0,0,0,0,Amine
"2,6-Dimethyloctane",431.15,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
4-Decanol,487.15,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
2-Methyl-1-penten-3-OL,407.65,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
"1,6-Hexanediamine",470.15,116.2,52,8,2,6,2,0,1,0,0,Amine
2-(Tetradecyloxy)ethanol,680.28,258.44,29.5,18,2,16,0,2,0,0,0,Alcohol
"2,4-Dimethylheptane",405.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,4-Dimethyl-1-pentene",354.75,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,5-Dimethylheptane",408.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
4-Ethylheptane,414.15,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
3-Methyloctane,417.15,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
4-Methyloctane,415.15,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
"Hexa-1,3,5-triene",355.35,80.13,0,6,0,6,0,0,0,3,0,Hydrocarbon
